name,version,dependency_count
aws-sdk-backupsearch,1.11.0,75.0
aws-sdk-backupstorage,1.30.0,75.0
aws-sdk-batch,1.72.0,75.0
aws-sdk-bcmdataexports,1.60.0,75.0
aws-sdk-bcmpricingcalculator,1.15.0,75.0
aws-sdk-bedrock,1.79.0,75.0
aws-sdk-bedrockagent,1.86.0,75.0
aws-sdk-bedrockagentruntime,1.85.0,77.0
aws-sdk-bedrockdataautomation,1.13.0,75.0
aws-sdk-bedrockdataautomationruntime,1.13.0,75.0
aws-sdk-bedrockruntime,1.77.0,77.0
mdbook-tabs,0.2.1,86.0
mdbook-tag,0.0.2,80.0
mdbook-tagger,0.2.0,81.0
mdbook-tailor,0.8.2,83.0
mdbook-tailwindcss,0.1.1,88.0
mdbook-templates,0.1.0,79.0
mdbook-tera,0.5.1,98.0
mdbook-tera-backend,0.0.1,97.0
mdbook-tex,0.0.0,0.0
mdbook-theme,0.1.6,80.0
mdbook-to-example,0.1.0,0.0
mdbook-to-github-wiki,0.1.2,13.0
mdbook-toc,0.14.2,79.0
mdbook-tocjs,0.1.4,80.0
mdbook-tools,0.1.1,5.0
mdbook-trace,0.1.1,80.0
mdbook-transcheck,0.2.8,41.0
mdbook-translation,0.1.1,81.0
theater,0.1.1,1.0
theatre,0.1.8,36.0
theattyr,0.1.10,82.0
thebakery,0.1.51,79.0
theban_db,0.7.0,21.0
theban_db_interface,0.2.0,28.0
theban_db_server,0.3.6,27.0
theban_interval_tree,0.7.1,15.0
theban_pass,0.2.0,29.0
thebook,0.3.0,101.0
theca,1.0.0,47.0
theclicker,0.2.1,10.0
thecocktaildb-rs,0.1.0,93.0
theforce,0.1.0,14.0
theframework,0.1.33,101.0
thefunland,0.1.0,0.0
thefunlib,0.1.0,0.0
thegarii,0.0.9,130.0
thegraph,0.0.0,0.0
thegraph-client-subgraphs,0.1.6,107.0
naoki_test_publish,0.2.4,0.0
naom,1.4.0,60.0
nap,0.0.5,6.0
napa,0.6.2,147.0
napali,0.1.1,196.0
napchart,0.3.1,91.0
naphtha,0.5.0,19.0
naphtha-proc-macro,0.5.0,4.0
napi-build,2.1.5,0.0
napi-build-ohos,1.0.4,0.0
napi-calm-down,2.16.13,23.0
napi-derive-backend-ohos,1.0.4,7.0
napi-derive-ohos,1.0.4,8.0
napi-h,2.16.1,23.0
napi-ohos,1.0.4,14.0
napi-package-template,0.1.0,102.0
napi-rs,0.0.0,
drs-0x01,0.3.0,3.0
drsh4dow_testing_mini_crate_that_do_nothing,0.1.2,0.0
drt-chain-scenario-format,0.0.3,23.0
drt-chain-vm,0.0.3,30.0
drt-chain-vm-executor,0.0.2,0.0
drt-price-aggregator-sc,0.0.3,27.0
drt-sc,0.0.3,16.0
drt-sc-codec,0.0.3,2.0
drt-sc-codec-derive,0.0.3,5.0
drt-sc-derive,0.0.3,9.0
drt-sc-meta,0.0.3,180.0
drt-sc-meta-lib,0.0.3,51.0
drt-sc-modules,0.0.3,17.0
drt-sc-scenario,0.0.3,73.0
drt-sc-snippets,0.0.3,155.0
drt-sc-wasm-adapter,0.0.3,17.0
drt-sdk,0.0.3,111.0
drt-tools,0.2.28,142.0
