Crate Name,Severity Label,On lib.rs
zerocopy-0.2.8,LOW_SEVERITY,Yes
outer_cgi-0.2.0,CRITICAL,Yes
rulinalg-0.4.2,MEDIUM_SEVERITY,Yes
rust_sodium-0.10.2,MEDIUM_SEVERITY,Yes
id-map-0.2.1,HIGH_SEVERITY,Yes
owning_ref-0.4.1,SAFE,Yes
abomonation-0.7.3,LOW_SEVERITY,Yes
openssl-0.10.69,LOW_SEVERITY,Yes
ascii-0.9.2,LOW_SEVERITY,Yes
puccinier-1.0.4,CRITICAL,Yes
r2d2_odbc-0.5.0,UNKNOWN,Yes
lmdb-0.8.0,MEDIUM_SEVERITY,Yes
candid-0.9.9,LOW_SEVERITY,Yes
gdk-0.18.2,LOW_SEVERITY,Yes
libsbc-0.1.4,HIGH_SEVERITY,Yes
nphysics2d-0.24.0,LOW_SEVERITY,Yes
slack-morphism-1.3.1,MEDIUM_SEVERITY,Yes
cw0-0.10.3,MEDIUM_SEVERITY,Yes
lettre-0.9.6,LOW_SEVERITY,Yes
ordnung-0.0.1,CRITICAL,Yes
hashconsing-1.0.1,MEDIUM_SEVERITY,Yes
double-checked-cell-2.1.0,HIGH_SEVERITY,Yes
unsafe-libyaml-0.2.9,SAFE,Yes
dync-0.4.0,HIGH_SEVERITY,Yes
