crate_name,rustsec_label,advisory_type
gix-worktree-state,MEDIUM,Vulnerability
zlib-rs,MEDIUM,Vulnerability
ic-stable-structures,MEDIUM,Vulnerability
gix-path,MEDIUM,Vulnerability
gix-path,MEDIUM,Vulnerability
gix-worktree,MEDIUM,Vulnerability
gix-index,MEDIUM,Vulnerability
gix-ref,MEDIUM,Vulnerability
vmm-sys-util,MEDIUM,INFOUnsound
rsa,MEDIUM,Vulnerability
cocoon,MEDIUM,Vulnerability
pleaser,MEDIUM,Vulnerability
versionize,MEDIUM,Vulnerability
pnet_packet,MEDIUM,Vulnerability
aliyun-oss-client,MEDIUM,Vulnerability
tauri,MEDIUM,Vulnerability
kamadak-exif,MEDIUM,Vulnerability
openssl-src,MEDIUM,Vulnerability
openssl-src,MEDIUM,Vulnerability
totp-rs,MEDIUM,Vulnerability
wasmtime,MEDIUM,Vulnerability
libsecp256k1-rs,MEDIUM,Vulnerability
hyper,MEDIUM,Vulnerability
openssl-src,MEDIUM,Vulnerability
openssl-src,MEDIUM,Vulnerability
max7301,MEDIUM,Vulnerability
disrustor,MEDIUM,Vulnerability
appendix,MEDIUM,Vulnerability
generator,MEDIUM,Vulnerability
cgc,MEDIUM,Vulnerability
comrak,MEDIUM,Vulnerability
qwutils,MEDIUM,Vulnerability
va-ts,MEDIUM,Vulnerability
eventio,MEDIUM,Vulnerability
multiqueue2,MEDIUM,INFOUnsound
buttplug,MEDIUM,Vulnerability
may_queue,MEDIUM,Vulnerability
atomic-option,MEDIUM,Vulnerability
lazy-init,MEDIUM,Vulnerability
xcb,MEDIUM,INFOUnsound
im,MEDIUM,INFOUnsound
reffers,MEDIUM,INFOUnsound
mdbook,MEDIUM,Vulnerability
concread,MEDIUM,INFOUnsound
nanorand,MEDIUM,Vulnerability
thex,MEDIUM,Vulnerability
try-mutex,MEDIUM,Vulnerability
magnetic,MEDIUM,Vulnerability
ordered-float,MEDIUM,Vulnerability
socket2,MEDIUM,INFOUnsound
net2,MEDIUM,INFOUnsound
mio,MEDIUM,INFOUnsound
miow,MEDIUM,INFOUnsound
branca,MEDIUM,Vulnerability
pyo3,MEDIUM,Vulnerability
image,MEDIUM,INFOUnsound
time,MEDIUM,Vulnerability
futures-intrusive,MEDIUM,INFOUnsound
lettre,MEDIUM,Vulnerability
futures-task,MEDIUM,Vulnerability
futures-util,MEDIUM,Vulnerability
futures-util,MEDIUM,Vulnerability
libpulse-binding,MEDIUM,Vulnerability
portaudio,MEDIUM,Vulnerability
claxon,MEDIUM,Vulnerability
dync,MEDIUM,INFOUnsound
security-framework,MEDIUM,Vulnerability
array-queue,MEDIUM,Vulnerability
tiny_http,MEDIUM,Vulnerability
actix-service,MEDIUM,INFOUnsound
atom,MEDIUM,INFOUnsound
pnet,MEDIUM,Vulnerability
sodiumoxide,MEDIUM,Vulnerability
hyper,MEDIUM,Vulnerability
hyper,MEDIUM,Vulnerability
quinn-proto,HIGH,Vulnerability
ic-cdk,HIGH,Vulnerability
phonenumber,HIGH,Vulnerability
gix-fs,HIGH,Vulnerability
gix-worktree,HIGH,Vulnerability
gix-index,HIGH,Vulnerability
tls-listener,HIGH,Vulnerability
rustls,HIGH,Vulnerability
blurhash,HIGH,Vulnerability
phonenumber,HIGH,Vulnerability
libgit2-sys,HIGH,Vulnerability
pqc_kyber,HIGH,Vulnerability
candid,HIGH,Vulnerability
tungstenite,HIGH,Vulnerability
quinn-proto,HIGH,Vulnerability
bcder,HIGH,Vulnerability
rustls-webpki,HIGH,Vulnerability
webpki,HIGH,Vulnerability
libsqlite3-sys,HIGH,Vulnerability
libp2p,HIGH,Vulnerability
matrix-sdk-crypto,HIGH,Vulnerability
evm,HIGH,Vulnerability
slack-morphism,HIGH,Vulnerability
wasmtime,HIGH,Vulnerability
conduit-hyper,HIGH,Vulnerability
linked_list_allocator,HIGH,Vulnerability
async-graphql,HIGH,Vulnerability
juniper,HIGH,Vulnerability
openssl-src,HIGH,Vulnerability
regex,HIGH,Vulnerability
std,HIGH,Vulnerability
vm-memory,HIGH,Vulnerability
bat,HIGH,Vulnerability
pleaser,HIGH,Vulnerability
pleaser,HIGH,Vulnerability
git-delta,HIGH,Vulnerability
openssl-src,HIGH,Vulnerability
actix-http,HIGH,Vulnerability
tar,HIGH,Vulnerability
cranelift-codegen,HIGH,Vulnerability
openssl-src,HIGH,Vulnerability
openssl-src,HIGH,Vulnerability
rkyv,HIGH,Vulnerability
reorder,HIGH,Vulnerability
slice-deque,HIGH,Vulnerability
stackvector,HIGH,Vulnerability
uu_od,HIGH,Vulnerability
rocket,HIGH,INFOUnsound
insert_many,HIGH,Vulnerability
parse_duration,HIGH,Vulnerability
endian_trait,HIGH,Vulnerability
arenavec,HIGH,Vulnerability
quinn,HIGH,INFOUnsound
truetype,HIGH,Vulnerability
generic-array,HIGH,Vulnerability
heapless,HIGH,INFOUnsound
hyper,HIGH,Vulnerability
multiqueue,HIGH,Vulnerability
syncpool,HIGH,Vulnerability
noise_search,HIGH,Vulnerability
ms3d,HIGH,Vulnerability
postscript,HIGH,Vulnerability
model,HIGH,INFOUnsound
convec,HIGH,Vulnerability
parc,HIGH,Vulnerability
lever,HIGH,Vulnerability
kekbit,HIGH,Vulnerability
toolshed,HIGH,Vulnerability
bunch,HIGH,Vulnerability
lexer,HIGH,Vulnerability
dces,HIGH,Vulnerability
signal-simple,HIGH,Vulnerability
rcu_cell,HIGH,Vulnerability
cache,HIGH,Vulnerability
async-coap,HIGH,Vulnerability
scottqueue,HIGH,Vulnerability
v9,HIGH,Vulnerability
slock,HIGH,Vulnerability
marc,HIGH,Vulnerability
beef,HIGH,Vulnerability
libsbc,HIGH,INFOUnsound
ticketed_lock,HIGH,Vulnerability
abox,HIGH,Vulnerability
conqueue,HIGH,Vulnerability
tiny_future,HIGH,Vulnerability
unicycle,HIGH,Vulnerability
ruspiro-singleton,HIGH,Vulnerability
fil-ocl,HIGH,Vulnerability
late-static,HIGH,Vulnerability
gfwx,HIGH,Vulnerability
conquer-once,HIGH,Vulnerability
basic_dsp_matrix,HIGH,Vulnerability
abi_stable,HIGH,Vulnerability
autorand,HIGH,Vulnerability
hashconsing,HIGH,Vulnerability
aovec,HIGH,Vulnerability
av-data,HIGH,Vulnerability
cache,HIGH,INFOUnsound
glsl-layout,HIGH,Vulnerability
rusb,HIGH,INFOUnsound
arc-swap,HIGH,Vulnerability
multihash,HIGH,Vulnerability
futures-task,HIGH,Vulnerability
trust-dns-proto,HIGH,Vulnerability
yaml-rust,HIGH,Vulnerability
once_cell,HIGH,Vulnerability
flatbuffers,HIGH,Vulnerability
untrusted,HIGH,Vulnerability
trust-dns-server,HIGH,Vulnerability
obstack,HIGH,INFOUnsound
sized-chunks,HIGH,Vulnerability
asn1_der,HIGH,Vulnerability
os_str_bytes,HIGH,Vulnerability
tough,HIGH,Vulnerability
bumpalo,HIGH,Vulnerability
spin,HIGH,Vulnerability
orion,HIGH,Vulnerability
tokio-rustls,HIGH,Vulnerability
actix-http,HIGH,Vulnerability
libsecp256k1,HIGH,Vulnerability
string-interner,HIGH,Vulnerability
pancurses,HIGH,Vulnerability
http,HIGH,Vulnerability
protobuf,HIGH,Vulnerability
ordnung,HIGH,Vulnerability
ammonia,HIGH,Vulnerability
chacha20,HIGH,Vulnerability
cookie,HIGH,Vulnerability
rocket,HIGH,INFOUnsound
memoffset,HIGH,INFOUnsound
openssl-src,HIGH,Vulnerability
libp2p-core,HIGH,Vulnerability
tar,HIGH,Vulnerability
serde_cbor,HIGH,Vulnerability
chunky,HIGH,INFOUnsound
simd-json,HIGH,Vulnerability
openssl,HIGH,Vulnerability
ws,HIGH,Vulnerability
crayon,HIGH,INFOUnsound
internment,HIGH,Vulnerability
generator,HIGH,Vulnerability
rustdoc,HIGH,Vulnerability
gix-path,LOW,Vulnerability
gitoxide-core,LOW,Vulnerability
object_store,LOW,Vulnerability
sudo-rs,LOW,Vulnerability
vm-memory,LOW,INFOUnsound
tauri,LOW,Vulnerability
pleaser,LOW,Vulnerability
nano-id,CRITICAL,Vulnerability
lz4-sys,CRITICAL,Vulnerability
flatbuffers,CRITICAL,Vulnerability
openssl-src,CRITICAL,Vulnerability
crossbeam-deque,CRITICAL,Vulnerability
hyper,CRITICAL,Vulnerability
grep-cli,CRITICAL,Vulnerability
outer_cgi,CRITICAL,Vulnerability
through,CRITICAL,Vulnerability
telemetry,CRITICAL,Vulnerability
adtensor,CRITICAL,Vulnerability
diesel,CRITICAL,Vulnerability
internment,CRITICAL,Vulnerability
stack_dst,CRITICAL,Vulnerability
nano_arena,CRITICAL,Vulnerability
byte_struct,CRITICAL,Vulnerability
scratchpad,CRITICAL,Vulnerability
bam,CRITICAL,Vulnerability
rand_core,CRITICAL,Vulnerability
yottadb,CRITICAL,Vulnerability
nb-connect,CRITICAL,INFOUnsound
array-tools,CRITICAL,Vulnerability
calamine,CRITICAL,Vulnerability
libp2p-deflate,CRITICAL,Vulnerability
cdr,CRITICAL,Vulnerability
bra,CRITICAL,Vulnerability
containers,CRITICAL,Vulnerability
sys-info,CRITICAL,Vulnerability
smallvec,CRITICAL,Vulnerability
blake2,CRITICAL,Vulnerability
linea,CRITICAL,Vulnerability
renderdoc,CRITICAL,Vulnerability
safe-transmute,CRITICAL,Vulnerability
linked-hash-map,CRITICAL,INFOUnsound
actix-codec,CRITICAL,Vulnerability
flatbuffers,CRITICAL,Vulnerability
failure,CRITICAL,INFOUnmaintained
failure,CRITICAL,INFOUnsound
arrayfire,CRITICAL,Vulnerability
prost,CRITICAL,Vulnerability
ozone,CRITICAL,Vulnerability
compact_arena,CRITICAL,Vulnerability
portaudio-rs,CRITICAL,Vulnerability
mozwire,CRITICAL,Vulnerability
cbox,CRITICAL,Vulnerability
slice-deque,CRITICAL,Vulnerability
slice-deque,CRITICAL,Vulnerability
chttp,CRITICAL,Vulnerability
bitvec,CRITICAL,Vulnerability
lucet-runtime-internals,CRITICAL,Vulnerability
stack,CRITICAL,Vulnerability
http,CRITICAL,Vulnerability
libflate,CRITICAL,Vulnerability
rio,CRITICAL,Vulnerability
rand_core,CRITICAL,INFOUnsound
bigint,CRITICAL,INFOUnmaintained
smallvec,CRITICAL,Vulnerability
smallvec,CRITICAL,Vulnerability
smallvec,CRITICAL,Vulnerability
image,CRITICAL,Vulnerability
sodiumoxide,CRITICAL,Vulnerability
actix-utils,CRITICAL,INFOUnsound
rulinalg,CRITICAL,Vulnerability
hyper,CRITICAL,Vulnerability
alpm-rs,CRITICAL,INFOUnsound
traitobject,CRITICAL,INFOUnsound
openssl,CRITICAL,Vulnerability
