Crate Name,Severity Label
safe-transmute-0.10.0,LOW_SEVERITY
crossbeam-queue-0.2.2,LOW_SEVERITY
pty-0.2.2,MEDIUM_SEVERITY
xml-rs-1.0.0,UNKNOWN
thex-0.1.0,CRITICAL
cbox-0.3.0,HIGH_SEVERITY
ic-stable-structures-0.6.3,MEDIUM_SEVERITY
dlopen_derive-0.1.4,LOW_SEVERITY
ring-0.17.11,LOW_SEVERITY
fltk-0.15.2,LOW_SEVERITY
libwebp-sys2-0.1.7,MEDIUM_SEVERITY
xcb-1.6.0,LOW_SEVERITY
dotenv_codegen-0.15.0,MEDIUM_SEVERITY
tectonic_xdv-0.1.11,LOW_SEVERITY
mdbook-0.4.4,LOW_SEVERITY
generator-0.6.25,LOW_SEVERITY
chacha20-0.2.2,LOW_SEVERITY
slice-deque-0.1.16,MEDIUM_SEVERITY
actix-web-0.7.14,UNKNOWN
yottadb-1.1.0,HIGH_SEVERITY
ruzstd-0.7.2,LOW_SEVERITY
filesystem-0.4.4,MEDIUM_SEVERITY
markdown-0.3.0,UNKNOWN
buf_redux-0.8.4,LOW_SEVERITY
bumpalo-3.11.0,LOW_SEVERITY
magnetic-2.0.0,HIGH_SEVERITY
magic-crypt-4.0.1,MEDIUM_SEVERITY
zerovec-derive-0.10.2,SAFE
trillium-client-0.5.3,MEDIUM_SEVERITY
os_str_bytes-1.1.0,LOW_SEVERITY
js-sandbox-0.1.6,HIGH_SEVERITY
async-h1-2.2.1,LOW_SEVERITY
abi_stable-0.9.0,MEDIUM_SEVERITY
rmp-serde-1.1.0,LOW_SEVERITY
gix-fs-0.10.2,LOW_SEVERITY
tough-0.7.0,MEDIUM_SEVERITY
inconceivable-0.9.0,SAFE
derive-com-impl-0.1.1,LOW_SEVERITY
humantime-2.3.0,UNKNOWN
stack_dst-0.6.0,MEDIUM_SEVERITY
intaglio-1.8.0,MEDIUM_SEVERITY
buffered-reader-1.1.5,UNKNOWN
rustsec-0.30.4,UNKNOWN
mmap-0.1.1,MEDIUM_SEVERITY
nphysics3d-0.24.0,LOW_SEVERITY
linked-hash-map-0.5.2,LOW_SEVERITY
memmap-0.7.0,LOW_SEVERITY
fruity-0.2.0,MEDIUM_SEVERITY
vodozemac-0.6.0,MEDIUM_SEVERITY
conquer-once-0.3.1,LOW_SEVERITY
tempdir-0.3.7,LOW_SEVERITY
array-macro-2.1.1,LOW_SEVERITY
ncurses-6.0.1,MEDIUM_SEVERITY
alloy-json-abi-0.7.6,LOW_SEVERITY
fehler-1.0.0,MEDIUM_SEVERITY
async-nats-0.28.0,UNKNOWN
alloc-cortex-m-0.4.4,MEDIUM_SEVERITY
async-graphql-4.0.5,LOW_SEVERITY
proc-macro-error-1.0.4,SAFE
portaudio-rs-0.3.0,MEDIUM_SEVERITY
qwutils-0.3.0,HIGH_SEVERITY
rmpv-0.4.1,LOW_SEVERITY
ckb-0.39.1,UNKNOWN
snow-0.9.4,LOW_SEVERITY
jsonrpc-quic-0.0.9,UNKNOWN
lmdb-rs-0.7.6,MEDIUM_SEVERITY
outer_cgi-0.2.0,CRITICAL
rulinalg-0.4.2,MEDIUM_SEVERITY
rust_sodium-0.10.2,MEDIUM_SEVERITY
owning_ref-0.4.1,SAFE
abomonation-0.7.3,LOW_SEVERITY
hickory-proto-0.24.4,UNKNOWN
openssl-0.10.69,LOW_SEVERITY
ascii-0.9.2,LOW_SEVERITY
puccinier-1.0.4,CRITICAL
r2d2_odbc-0.5.0,UNKNOWN
lmdb-0.8.0,MEDIUM_SEVERITY
candid-0.9.9,LOW_SEVERITY
gdk-0.18.2,LOW_SEVERITY
libsbc-0.1.4,HIGH_SEVERITY
nphysics2d-0.24.0,LOW_SEVERITY
rage-0.11.0,UNKNOWN
slack-morphism-1.3.1,MEDIUM_SEVERITY
cw0-0.10.3,UNKNOWN
lettre-0.9.6,LOW_SEVERITY
ordnung-0.0.1,CRITICAL
hashconsing-1.0.1,MEDIUM_SEVERITY
double-checked-cell-2.1.0,HIGH_SEVERITY
unsafe-libyaml-0.2.9,SAFE
dync-0.4.0,HIGH_SEVERITY
safe_core-0.43.1,UNKNOWN
libusb-0.3.0,MEDIUM_SEVERITY
bite-0.0.5,MEDIUM_SEVERITY
personnummer-0.1.0,SAFE
serde_cbor-0.10.1,LOW_SEVERITY
containers-0.9.10,HIGH_SEVERITY
rust-embed-6.2.0,LOW_SEVERITY
serde-json-wasm-1.0.0,LOW_SEVERITY
enumflags2-0.7.6,LOW_SEVERITY
prost-types-0.7.0,LOW_SEVERITY
chunky-0.3.7,HIGH_SEVERITY
iced-x86-1.10.0,LOW_SEVERITY
tiny_future-0.3.2,LOW_SEVERITY
ncollide3d-0.33.0,LOW_SEVERITY
sqlx-0.8.0,LOW_SEVERITY
cosmwasm-vm-2.1.2,UNKNOWN
directories-6.0.0,LOW_SEVERITY
insert_many-0.1.1,SAFE
rkyv-0.5.2,LOW_SEVERITY
lzw-0.10.0,LOW_SEVERITY
linkme-0.3.23,SAFE
claxon-0.4.0,LOW_SEVERITY
axum-core-0.2.9,SAFE
tiberius-0.12.3,UNKNOWN
object_store-0.10.1,LOW_SEVERITY
git-path-0.7.2,LOW_SEVERITY
odbc-0.17.0,UNKNOWN
max7301-0.1.0,LOW_SEVERITY
gtk-layer-shell-sys-0.7.2,MEDIUM_SEVERITY
trust-dns-server-0.22.1,UNKNOWN
stderr-0.8.0,HIGH_SEVERITY
hyper-0.14.11,LOW_SEVERITY
noise_search-0.8.0,HIGH_SEVERITY
