name,rustsec_label,advisory_type
tokio,UNCATEGORIZED,INFOUNSOUND
personnummer,UNCATEGORIZED,INFONOTICE
json,UNCATEGORIZED,INFOUNMAINTAINED
parity-util-mem,UNCATEGORIZED,INFOUNMAINTAINED
twoway,UNCATEGORIZED,INFOUNMAINTAINED
bumpalo,UNCATEGORIZED,INFOUNSOUND
claim,UNCATEGORIZED,INFOUNMAINTAINED
prettytable-rs,UNCATEGORIZED,INFOUNSOUND
alloc-cortex-m,UNCATEGORIZED,INFOUNMAINTAINED
rusoto_credential,UNCATEGORIZED,INFOUNMAINTAINED
secp256k1,UNCATEGORIZED,INFOUNSOUND
atty,UNCATEGORIZED,INFOUNSOUND
lzf,UNCATEGORIZED,INFOUNSOUND
parity-wasm,UNCATEGORIZED,INFOUNMAINTAINED
orbtk,UNCATEGORIZED,INFOUNMAINTAINED
inconceivable,UNCATEGORIZED,INFONOTICE
badge,UNCATEGORIZED,INFOUNMAINTAINED
clipboard,UNCATEGORIZED,INFOUNMAINTAINED
typemap,UNCATEGORIZED,INFOUNMAINTAINED
wee_alloc,UNCATEGORIZED,INFOUNMAINTAINED
traitobject,UNCATEGORIZED,INFOUNMAINTAINED
cell-project,UNCATEGORIZED,INFOUNSOUND
dotenv_codegen,UNCATEGORIZED,INFOUNMAINTAINED
dotenv,UNCATEGORIZED,INFOUNMAINTAINED
mozjpeg,UNCATEGORIZED,INFOUNSOUND
rusttype,UNCATEGORIZED,INFOUNMAINTAINED
os_socketaddr,UNCATEGORIZED,INFOUNSOUND
mapr,UNCATEGORIZED,INFOUNMAINTAINED
ansi_term,UNCATEGORIZED,INFOUNMAINTAINED
interledger-packet,UNCATEGORIZED,INFOUNMAINTAINED
iana-time-zone,UNCATEGORIZED,INFOUNSOUND
mz-avro,UNCATEGORIZED,INFOUNSOUND
sodiumoxide,UNCATEGORIZED,INFOUNMAINTAINED
markdown,UNCATEGORIZED,INFOUNMAINTAINED
crossbeam-utils,UNCATEGORIZED,INFOUNSOUND
odbc,UNCATEGORIZED,INFOUNMAINTAINED
sass-rs,UNCATEGORIZED,INFOUNMAINTAINED
term_size,UNCATEGORIZED,INFOUNMAINTAINED
r2d2_odbc,UNCATEGORIZED,INFOUNMAINTAINED
pkcs11,UNCATEGORIZED,INFOUNSOUND
double-checked-cell,UNCATEGORIZED,INFOUNMAINTAINED
static_type_map,UNCATEGORIZED,INFOUNMAINTAINED
crossbeam-channel,UNCATEGORIZED,INFOUNSOUND
crossbeam-queue,UNCATEGORIZED,INFOUNSOUND
hyper,UNCATEGORIZED,INFOUNSOUND
crossbeam,UNCATEGORIZED,INFOUNSOUND
array-macro,UNCATEGORIZED,INFOUNSOUND
pty,UNCATEGORIZED,INFOUNMAINTAINED
enum-map,UNCATEGORIZED,INFOUNSOUND
tokio-proto,UNCATEGORIZED,INFOUNMAINTAINED
windows,UNCATEGORIZED,INFOUNSOUND
qcell,UNCATEGORIZED,INFOUNSOUND
ftd2xx-embedded-hal,UNCATEGORIZED,INFOUNMAINTAINED
array-macro,UNCATEGORIZED,INFOUNSOUND
lmdb,UNCATEGORIZED,INFOUNMAINTAINED
rental,UNCATEGORIZED,INFOUNMAINTAINED
cargo-download,UNCATEGORIZED,INFOUNMAINTAINED
serde_cbor,UNCATEGORIZED,INFOUNMAINTAINED
crypto2,UNCATEGORIZED,INFOUNSOUND
abomonation,UNCATEGORIZED,INFOUNSOUND
slice-deque,UNCATEGORIZED,INFOUNMAINTAINED
tectonic_xdv,UNCATEGORIZED,INFOUNSOUND
cosmos_sdk,UNCATEGORIZED,INFOUNMAINTAINED
spirv_headers,UNCATEGORIZED,INFOUNMAINTAINED
ash,UNCATEGORIZED,INFOUNSOUND
bite,UNCATEGORIZED,INFOUNSOUND
columnar,UNCATEGORIZED,INFOUNSOUND
rdiff,UNCATEGORIZED,INFOUNSOUND
csv-sniffer,UNCATEGORIZED,INFOUNSOUND
mopa,UNCATEGORIZED,INFOUNSOUND
gfx-auxil,UNCATEGORIZED,INFOUNSOUND
acc_reader,UNCATEGORIZED,INFOUNSOUND
binjs_io,UNCATEGORIZED,INFOUNSOUND
flumedb,UNCATEGORIZED,INFOUNSOUND
buffoon,UNCATEGORIZED,INFOUNSOUND
bronzedb-protocol,UNCATEGORIZED,INFOUNSOUND
vec-const,UNCATEGORIZED,INFOUNSOUND
anymap,UNCATEGORIZED,INFOUNMAINTAINED
cpuid-bool,UNCATEGORIZED,INFOUNMAINTAINED
aes-ctr,UNCATEGORIZED,INFOUNMAINTAINED
aes-soft,UNCATEGORIZED,INFOUNMAINTAINED
aesni,UNCATEGORIZED,INFOUNMAINTAINED
miscreant,UNCATEGORIZED,INFOUNMAINTAINED
rulinalg,UNCATEGORIZED,INFOUNMAINTAINED
office,UNCATEGORIZED,INFOUNMAINTAINED
jsonrpc-quic,UNCATEGORIZED,INFOUNMAINTAINED
safe-api,UNCATEGORIZED,INFOUNMAINTAINED
lzw,UNCATEGORIZED,INFOUNMAINTAINED
stderr,UNCATEGORIZED,INFOUNMAINTAINED
interfaces2,UNCATEGORIZED,INFOUNMAINTAINED
difference,UNCATEGORIZED,INFOUNMAINTAINED
safe_authenticator,UNCATEGORIZED,INFOUNMAINTAINED
safe_vault,UNCATEGORIZED,INFOUNMAINTAINED
safe_core,UNCATEGORIZED,INFOUNMAINTAINED
safe_app,UNCATEGORIZED,INFOUNMAINTAINED
routing,UNCATEGORIZED,INFOUNMAINTAINED
memmap,UNCATEGORIZED,INFOUNMAINTAINED
lock_api,UNCATEGORIZED,INFOUNSOUND
safe_bindgen,UNCATEGORIZED,INFOUNMAINTAINED
fake_clock,UNCATEGORIZED,INFOUNMAINTAINED
ffi_utils,UNCATEGORIZED,INFOUNMAINTAINED
safe-nd,UNCATEGORIZED,INFOUNMAINTAINED
quic-p2p,UNCATEGORIZED,INFOUNMAINTAINED
block-cipher,UNCATEGORIZED,INFOUNMAINTAINED
stdweb,UNCATEGORIZED,INFOUNMAINTAINED
stream-cipher,UNCATEGORIZED,INFOUNMAINTAINED
libpulse-binding,UNCATEGORIZED,INFOUNSOUND
net2,UNCATEGORIZED,INFOUNMAINTAINED
tiberius,UNCATEGORIZED,INFOUNMAINTAINED
